"x","n","mx","qx","ax","lx","dx","Lx","Tx","ex","edad","age","año","sexo"
1,1,0.016622,0.016374,0.09,1e+05,1637,98509,7353512,73.54,"0","0",2010,"Hombre"
2,4,0.001662,0.006627,2,98363,652,392147,7255003,73.76,"1 a 4","1 a 4",2010,"Hombre"
3,5,0.000166,0.000831,2.5,97711,81,488351,6862856,70.24,"5 a 9","5 a 9",2010,"Hombre"
4,5,0.000202,0.001008,2.5,97630,98,487902,6374505,65.29,"10 a 14","10 a 14",2010,"Hombre"
5,5,0.000449,0.002243,2.5,97531,219,487109,5886602,60.36,"15 a 19","15 a 19",2010,"Hombre"
6,5,0.000657,0.003279,2.5,97312,319,485765,5399493,55.49,"20 a 24","20 a 24",2010,"Hombre"
7,5,0.000832,0.004154,2.5,96993,403,483960,4913729,50.66,"25 a 29","25 a 29",2010,"Hombre"
8,5,0.001051,0.00524,2.5,96590,506,481687,4429769,45.86,"30 a 34","30 a 34",2010,"Hombre"
9,5,0.001338,0.00667,2.5,96084,641,478819,3948082,41.09,"35 a 39","35 a 39",2010,"Hombre"
10,5,0.002286,0.011366,2.5,95443,1085,474505,3469263,36.35,"40 a 44","40 a 44",2010,"Hombre"
11,5,0.003386,0.016788,2.5,94359,1584,467833,2994757,31.74,"45 a 49","45 a 49",2010,"Hombre"
12,5,0.005868,0.028918,2.5,92775,2683,457166,2526924,27.24,"50 a 54","50 a 54",2010,"Hombre"
13,5,0.009522,0.046504,2.5,90092,4190,439985,2069758,22.97,"55 a 59","55 a 59",2010,"Hombre"
14,5,0.016011,0.076975,2.5,85902,6612,412980,1629773,18.97,"60 a 64","60 a 64",2010,"Hombre"
15,5,0.025664,0.120584,2.5,79290,9561,372547,1216793,15.35,"65 a 69","65 a 69",2010,"Hombre"
16,5,0.036655,0.167889,2.5,69729,11707,319377,844247,12.11,"70 a 74","70 a 74",2010,"Hombre"
17,5,0.061011,0.264684,2.5,58022,15357,251717,524869,9.05,"75 a 79","75 a 79",2010,"Hombre"
18,5,0.104933,0.415633,2.5,42665,17733,168991,273153,6.4,"80 a 84","80 a 84",2010,"Hombre"
19,NA,0.239356,1,4.18,24932,24932,104162,104162,4.18,"85+","85+",2010,"Hombre"
