"x","n","mx","qx","ax","lx","dx","Lx","Tx","ex","edad","age","año","sexo"
1,1,0.022342,0.021909,0.12,1e+05,2191,98062,6972153,69.72,"0","0",2010,"Mujer"
2,4,0.002234,0.008897,2,97809,870,389496,6874091,70.28,"1 a 4","1 a 4",2010,"Mujer"
3,5,0.000223,0.001116,2.5,96939,108,484424,6484595,66.89,"5 a 9","5 a 9",2010,"Mujer"
4,5,0.000302,0.001507,2.5,96831,146,483788,6000172,61.97,"10 a 14","10 a 14",2010,"Mujer"
5,5,0.001327,0.006612,2.5,96685,639,481825,5516383,57.06,"15 a 19","15 a 19",2010,"Mujer"
6,5,0.00244,0.012125,2.5,96045,1165,477316,5034558,52.42,"20 a 24","20 a 24",2010,"Mujer"
7,5,0.003227,0.016005,2.5,94881,1519,470608,4557242,48.03,"25 a 29","25 a 29",2010,"Mujer"
8,5,0.003562,0.017651,2.5,93362,1648,462692,4086634,43.77,"30 a 34","30 a 34",2010,"Mujer"
9,5,0.003619,0.017934,2.5,91714,1645,454460,3623942,39.51,"35 a 39","35 a 39",2010,"Mujer"
10,5,0.005007,0.024726,2.5,90070,2227,444780,3169482,35.19,"40 a 44","40 a 44",2010,"Mujer"
11,5,0.00732,0.035943,2.5,87843,3157,431320,2724702,31.02,"45 a 49","45 a 49",2010,"Mujer"
12,5,0.008737,0.042749,2.5,84685,3620,414376,2293382,27.08,"50 a 54","50 a 54",2010,"Mujer"
13,5,0.013626,0.065884,2.5,81065,5341,391973,1879006,23.18,"55 a 59","55 a 59",2010,"Mujer"
14,5,0.018992,0.090654,2.5,75724,6865,361459,1487033,19.64,"60 a 64","60 a 64",2010,"Mujer"
15,5,0.027645,0.129288,2.5,68859,8903,322041,1125574,16.35,"65 a 69","65 a 69",2010,"Mujer"
16,5,0.040911,0.185574,2.5,59957,11126,271968,803534,13.4,"70 a 74","70 a 74",2010,"Mujer"
17,5,0.062878,0.271681,2.5,48830,13266,210986,531566,10.89,"75 a 79","75 a 79",2010,"Mujer"
18,5,0.083321,0.344785,2.5,35564,12262,147165,320580,9.01,"80 a 84","80 a 84",2010,"Mujer"
19,NA,0.134372,1,7.44,23302,23302,173414,173414,7.44,"85+","85+",2010,"Mujer"
