"x","n","mx","qx","ax","lx","dx","Lx","Tx","ex","edad","age","año","sexo"
1,1,0.016622,0.016374,0.09,1e+05,1637,98509,7776164,77.76,"0","0",2021,"Hombre"
2,4,0.001662,0.006627,2,98363,652,392147,7677655,78.05,"1 a 4","1 a 4",2021,"Hombre"
3,5,0.000166,0.000831,2.5,97711,81,488351,7285508,74.56,"5 a 9","5 a 9",2021,"Hombre"
4,5,0.000193,0.000966,2.5,97630,94,487912,6797157,69.62,"10 a 14","10 a 14",2021,"Hombre"
5,5,0.000436,0.002176,2.5,97535,212,487146,6309245,64.69,"15 a 19","15 a 19",2021,"Hombre"
6,5,0.000613,0.003062,2.5,97323,298,485871,5822099,59.82,"20 a 24","20 a 24",2021,"Hombre"
7,5,0.000715,0.003569,2.5,97025,346,484260,5336228,55,"25 a 29","25 a 29",2021,"Hombre"
8,5,0.000884,0.004412,2.5,96679,427,482328,4851968,50.19,"30 a 34","30 a 34",2021,"Hombre"
9,5,0.001159,0.00578,2.5,96252,556,479870,4369641,45.4,"35 a 39","35 a 39",2021,"Hombre"
10,5,0.001719,0.00856,2.5,95696,819,476432,3889770,40.65,"40 a 44","40 a 44",2021,"Hombre"
11,5,0.002191,0.010895,2.5,94877,1034,471800,3413339,35.98,"45 a 49","45 a 49",2021,"Hombre"
12,5,0.003762,0.018634,2.5,93843,1749,464844,2941539,31.35,"50 a 54","50 a 54",2021,"Hombre"
13,5,0.005962,0.02937,2.5,92094,2705,453710,2476695,26.89,"55 a 59","55 a 59",2021,"Hombre"
14,5,0.009846,0.048046,2.5,89390,4295,436211,2022985,22.63,"60 a 64","60 a 64",2021,"Hombre"
15,5,0.015517,0.074688,2.5,85095,6356,409585,1586774,18.65,"65 a 69","65 a 69",2021,"Hombre"
16,5,0.022964,0.108585,2.5,78739,8550,372321,1177189,14.95,"70 a 74","70 a 74",2021,"Hombre"
17,5,0.037607,0.171876,2.5,70189,12064,320787,804868,11.47,"75 a 79","75 a 79",2021,"Hombre"
18,5,0.066812,0.286246,2.5,58125,16638,249032,484081,8.33,"80 a 84","80 a 84",2021,"Hombre"
19,NA,0.176504,1,5.67,41487,41487,235049,235049,5.67,"85+","85+",2021,"Hombre"
