"edad","poblacion","mx","defunciones","ex_estandar","apv","año","sexo"
1,290406.053266957,0.000201775837369136,58.5969245750063,72.54,4250.62090867096,"2010","Hombres"
1,290406.053266957,0.000449006828654446,130.394300999451,72.54,9458.80259450015,"2010","Hombres"
1,371699.609714875,0.000201775837369136,75,72.54,5440.5,"2010","Hombres"
1,371699.609714875,0.000449006828654446,166.895662970171,72.54,12106.6113918562,"2010","Hombres"
1,369704.845018633,0.000201775837369136,74.5975046830615,72.54,5411.30298970928,"2010","Hombres"
1,369704.845018633,0.000449006828654446,166,72.54,12041.64,"2010","Hombres"
2,337913.793943239,0.0006569722928721,222,71.54,15881.88,"2010","Hombres"
2,337913.793943239,0.000832484686417798,281.308058787085,71.54,20124.7785256281,"2010","Hombres"
2,295500.931144504,0.0006569722928721,194.135924279846,71.54,13888.4840229802,"2010","Hombres"
2,295500.931144504,0.000832484686417798,246,71.54,17598.84,"2010","Hombres"
3,270278.82625265,0.0010507667357358,284,70.54,20033.36,"2010","Hombres"
3,270278.82625265,0.00133840257993634,361.741878358712,70.54,25517.2720994236,"2010","Hombres"
3,265241.568808755,0.0010507667357358,278.707017438618,70.54,19659.9930101201,"2010","Hombres"
3,265241.568808755,0.00133840257993634,355,70.54,25041.7,"2010","Hombres"
4,219578.976466261,0.0022861933691413,502,69.54,34909.08,"2010","Hombres"
4,219578.976466261,0.00338594237510429,743.481761099143,69.54,51701.7216668344,"2010","Hombres"
4,180451.978300777,0.0022861933691413,412.548116239665,69.54,28688.5960033063,"2010","Hombres"
4,180451.978300777,0.00338594237510429,611,69.54,42488.94,"2010","Hombres"
5,379027.161759152,0.000166215000813141,63,68.54,4318.02,"2010","Hombres"
5,379027.161759152,0.00586840833594468,2224.28615561686,68.54,152452.57310598,"2010","Hombres"
5,379027.161759152,0.00952213130798461,3609.14640356337,68.54,247370.894500234,"2010","Hombres"
5,156430.832254317,0.000166215000813141,26.0011509103517,68.54,1782.1188833955,"2010","Hombres"
5,156430.832254317,0.00586840833594468,918,68.54,62919.72,"2010","Hombres"
5,156430.832254317,0.00952213130798461,1489.55492534292,68.54,102094.094583004,"2010","Hombres"
5,123816.818091069,0.000166215000813141,20.5802125196875,68.54,1410.56776609938,"2010","Hombres"
5,123816.818091069,0.00586840833594468,726.607647415773,68.54,49801.6881538771,"2010","Hombres"
5,123816.818091069,0.00952213130798461,1179,68.54,80808.66,"2010","Hombres"
6,102178.916543494,0.016011130821725,1636,67.54,110495.44,"2010","Hombres"
6,102178.916543494,0.0256641829251673,2622.33840526763,67.54,177112.735891776,"2010","Hombres"
6,76098.2730560578,0.016011130821725,1218.41940520789,67.54,82292.0466277411,"2010","Hombres"
6,76098.2730560578,0.0256641829251673,1953,67.54,131905.62,"2010","Hombres"
7,56745.5635614108,0.0366548478763278,2080,66.54,138403.2,"2010","Hombres"
7,56745.5635614108,0.0610110282937989,3462.1051839928,66.54,230368.478942881,"2010","Hombres"
7,38452.0645792565,0.0366548478763278,1409.45457768338,66.54,93785.1075990519,"2010","Hombres"
7,38452.0645792565,0.0610110282937989,2346,66.54,156102.84,"2010","Hombres"
8,24444.0738196799,0.104933409174003,2565,65.54,168110.1,"2010","Hombres"
1,279986.74559633,0.000301554949681078,84.4313889796702,68.72,5802.12505068294,"2010","Mujeres"
1,279986.74559633,0.00132681913052174,371.491770349734,68.72,25528.9144584337,"2010","Mujeres"
1,361459.827189961,0.000301554949681078,109,68.72,7490.48,"2010","Mujeres"
1,361459.827189961,0.00132681913052174,479.591813630723,68.72,32957.5494327033,"2010","Mujeres"
1,364028.516690193,0.000301554949681078,109.774601032989,68.72,7543.71058298698,"2010","Mujeres"
1,364028.516690193,0.00132681913052174,483,68.72,33191.76,"2010","Mujeres"
2,348804.788167858,0.00243976008606415,851,67.72,57629.72,"2010","Mujeres"
2,348804.788167858,0.00322680852183107,1125.52626291553,67.72,76220.6385246395,"2010","Mujeres"
2,312382.960804877,0.00243976008606415,762.13947933828,67.72,51612.0855407883,"2010","Mujeres"
2,312382.960804877,0.00322680852183107,1008,67.72,68261.76,"2010","Mujeres"
3,292564.38130304,0.00356160922720353,1042,66.72,69522.24,"2010","Mujeres"
3,292564.38130304,0.00361919650741138,1058.84798700494,66.72,70646.3376929693,"2010","Mujeres"
3,284317.25049823,0.00356160922720353,1012.62694282763,66.72,67562.4696254596,"2010","Mujeres"
3,284317.25049823,0.00361919650741138,1029,66.72,68654.88,"2010","Mujeres"
4,239263.299452875,0.00500703619292835,1198,65.72,78732.56,"2010","Mujeres"
4,239263.299452875,0.00732009691246706,1751.43053959167,65.72,115104.015061965,"2010","Mujeres"
4,201500.064498857,0.00500703619292835,1008.91811582318,65.72,66306.0985718991,"2010","Mujeres"
4,201500.064498857,0.00732009691246706,1475,65.72,96937,"2010","Mujeres"
5,367016.224706715,0.000223423365180999,82,64.72,5307.04,"2010","Mujeres"
5,367016.224706715,0.00873651338211909,3206.44215860505,64.72,207520.936504919,"2010","Mujeres"
5,367016.224706715,0.0136257179642555,5000.85956615953,64.72,323655.631121844,"2010","Mujeres"
5,176958.465280232,0.000223423365180999,39.5366558101743,64.72,2558.81236403448,"2010","Mujeres"
5,176958.465280232,0.00873651338211909,1546,64.72,100057.12,"2010","Mujeres"
