"x","n","mx","qx","ax","lx","dx","Lx","Tx","ex","edad","age","año","sexo"
1,1,0.022342,0.021909,0.12,1e+05,2191,98062,7539247,75.39,"0","0",2021,"Mujer"
2,4,0.002234,0.008897,2,97809,870,389496,7441185,76.08,"1 a 4","1 a 4",2021,"Mujer"
3,5,0.000223,0.001116,2.5,96939,108,484424,7051689,72.74,"5 a 9","5 a 9",2021,"Mujer"
4,5,0.000292,0.001457,2.5,96831,141,483800,6567265,67.82,"10 a 14","10 a 14",2021,"Mujer"
5,5,0.001305,0.006505,2.5,96690,629,481875,6083465,62.92,"15 a 19","15 a 19",2021,"Mujer"
6,5,0.00233,0.011585,2.5,96061,1113,477521,5601590,58.31,"20 a 24","20 a 24",2021,"Mujer"
7,5,0.002795,0.013878,2.5,94948,1318,471444,5124069,53.97,"25 a 29","25 a 29",2021,"Mujer"
8,5,0.003023,0.015001,2.5,93630,1405,464639,4652625,49.69,"30 a 34","30 a 34",2021,"Mujer"
9,5,0.003121,0.015485,2.5,92225,1428,457557,4187986,45.41,"35 a 39","35 a 39",2021,"Mujer"
10,5,0.003776,0.018705,2.5,90797,1698,449741,3730429,41.09,"40 a 44","40 a 44",2021,"Mujer"
11,5,0.004934,0.024371,2.5,89099,2171,440066,3280689,36.82,"45 a 49","45 a 49",2021,"Mujer"
12,5,0.005748,0.028334,2.5,86928,2463,428480,2840622,32.68,"50 a 54","50 a 54",2021,"Mujer"
13,5,0.008565,0.041928,2.5,84465,3541,413469,2412142,28.56,"55 a 59","55 a 59",2021,"Mujer"
14,5,0.011557,0.056163,2.5,80923,4545,393253,1998674,24.7,"60 a 64","60 a 64",2021,"Mujer"
15,5,0.016221,0.077946,2.5,76378,5953,367007,1605421,21.02,"65 a 69","65 a 69",2021,"Mujer"
16,5,0.025691,0.120704,2.5,70425,8501,330873,1238413,17.58,"70 a 74","70 a 74",2021,"Mujer"
17,5,0.039762,0.180836,2.5,61924,11198,281626,907541,14.66,"75 a 79","75 a 79",2021,"Mujer"
18,5,0.054662,0.240452,2.5,50726,12197,223138,625915,12.34,"80 a 84","80 a 84",2021,"Mujer"
19,NA,0.095658,1,10.45,38529,38529,402777,402777,10.45,"85+","85+",2021,"Mujer"
