"año","sexo","apv_total","apv_total_miles","apv_total_millones"
"2010","Hombres",2355778.02926707,2355.77802926707,2.35577802926707
"2010","Mujeres",3456015.98431316,3456.01598431316,3.45601598431316
"2019","Hombres",2338355.46748506,2338.35546748506,2.33835546748506
"2019","Mujeres",3518886.98304402,3518.88698304402,3.51888698304402
"2021","Hombres",2338907.48772264,2338.90748772264,2.33890748772264
"2021","Mujeres",3540548.01581579,3540.54801581579,3.54054801581579
